package,name,composable,skippable,restartable,readonly,inline,isLambda,hasDefaults,defaultsGroup,groups,calls,
com.shopl.sdg.component.segment.SDGSegment,SDGSegment,1,1,1,0,0,0,0,0,1,1,
com.shopl.sdg.component.segment.SDGSegmentUnit,SDGSegmentUnit,1,1,1,0,0,0,0,0,4,2,
com.shopl.sdg.component.segment.SDGTwoLineSegmentUnit,SDGTwoLineSegmentUnit,1,1,1,0,0,0,0,0,1,1,
com.shopl.sdg.component.segment.SDGOneLineSegmentUnit,SDGOneLineSegmentUnit,1,1,1,0,0,0,0,0,1,1,
com.shopl.sdg.component.segment.SDGSegmentIndicator,SDGSegmentIndicator,1,1,1,0,0,0,0,0,1,4,
com.shopl.sdg.component.segment.PrevSDGSegment_ThreeOption_TwoLine,PrevSDGSegment_ThreeOption_TwoLine,1,1,1,0,0,0,0,0,1,1,
com.shopl.sdg.component.segment.PrevSDGSegment_ThreeOption_OneLine,PrevSDGSegment_ThreeOption_OneLine,1,1,1,0,0,0,0,0,1,1,
com.shopl.sdg.component.segment.PrevSDGSegment_TwoOption_TwoLine,PrevSDGSegment_TwoOption_TwoLine,1,1,1,0,0,0,0,0,1,1,
com.shopl.sdg.component.segment.PrevSDGSegment_TwoOption_OneLine,PrevSDGSegment_TwoOption_OneLine,1,1,1,0,0,0,0,0,1,1,
com.shopl.sdg.component.tab.SDGBoxFixedTab,SDGBoxFixedTab,1,1,1,0,0,0,1,0,2,1,
com.shopl.sdg.component.tab.Tab,Tab,1,1,1,0,0,0,0,0,1,1,
com.shopl.sdg.component.tab.PreviewTwoOptions,PreviewTwoOptions,1,1,1,0,0,0,0,0,1,1,
com.shopl.sdg.component.tab.PreviewThreeOptions,PreviewThreeOptions,1,1,1,0,0,0,0,0,1,1,
com.shopl.sdg.component.tab.SDGLineFixedTab,SDGLineFixedTab,1,1,1,0,0,0,1,0,2,4,
com.shopl.sdg.component.tab.Tab,Tab,1,1,1,0,0,0,0,0,1,1,
com.shopl.sdg.component.tab.Indicator,Indicator,1,1,1,0,0,0,1,0,2,1,
com.shopl.sdg.component.tab.PreviewTwoOptions,PreviewTwoOptions,1,1,1,0,0,0,0,0,1,1,
com.shopl.sdg.component.tab.PreviewThreeOptions,PreviewThreeOptions,1,1,1,0,0,0,0,0,1,1,
com.shopl.sdg.component.tab.SDGLineScrollTab,SDGLineScrollTab,1,1,1,0,0,0,1,0,2,2,
com.shopl.sdg.component.tab.Tab,Tab,1,1,1,0,0,0,0,0,1,1,
